station,condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
Dublin Airport,reference,persistence,5,145,6.758647862186208,10.209622430889194,6.758647862186208,10.209622430889194,,
Dublin Airport,reference,persistence,6,145,7.116513519524137,11.89590632398387,7.116513519524137,11.89590632398387,,
Dublin Airport,reference,persistence,7,145,7.695496123937931,12.17758462348938,7.695496123937931,12.17758462348938,,
Dublin Airport,reference,persistence,8,145,8.567829819524139,13.637409106868557,8.567829819524139,13.637409106868557,,
Dublin Airport,reference,persistence,9,145,9.52667603104138,15.84489183784287,9.52667603104138,15.84489183784287,,
Dublin Airport,reference,persistence,10,145,9.84264285855862,15.803633824433035,9.84264285855862,15.803633824433035,,
Dublin Airport,reference,persistence,11,145,10.453592287820689,16.573667304381473,10.453592287820689,16.573667304381473,,
Dublin Airport,reference,persistence,12,145,10.57182933182069,16.505313771020163,10.57182933182069,16.505313771020163,,
Dublin Airport,reference,persistence,13,145,10.72954833293793,16.420761800452667,10.72954833293793,16.420761800452667,,
Dublin Airport,reference,persistence,14,145,11.082578466482758,17.032789914246248,11.082578466482758,17.032789914246248,,
