station,horizon,n_origins_lags_only,n_origins_lags_meteo,n_origins_common,first_date,last_date,n_months,months,coverage_pct,exclusion_reason
edenderry co offlay,5,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,6,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,7,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,8,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,9,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,10,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,11,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,12,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,13,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,14,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,15,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,16,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,17,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,18,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,19,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,20,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,21,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
edenderry co offlay,22,211,211,211,2023-01-01,2023-07-31 15:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
